Date,Open,High,Low,Close,Adj Close,Volume
2015-10-21,441.0,446.049988,437.100006,444.399994,444.399994,1400922
2015-10-22,441.799988,442.600006,433.600006,439.700012,439.700012,1190143
2015-10-23,439.700012,446.0,439.200012,442.5,442.5,1405359
2015-10-26,440.200012,444.799988,440.200012,442.700012,442.700012,1450631
2015-10-27,440.200012,443.0,420.0,424.899994,424.899994,2368731
2015-10-28,427.200012,432.5,426.200012,432.200012,432.200012,1580569
2015-10-29,432.799988,434.0,426.584015,432.600006,432.600006,3785198
2015-10-30,434.799988,434.799988,424.799988,426.0,426.0,1357290
2015-11-02,424.899994,440.899994,421.5,440.899994,440.899994,1813768
2015-11-03,444.0,445.0,405.299988,433.700012,433.700012,7676095
2015-11-04,436.100006,447.0,433.799988,436.299988,436.299988,2277806
2015-11-05,434.899994,448.5,432.528992,446.899994,446.899994,2709995
2015-11-06,446.899994,458.899994,446.899994,448.899994,448.899994,3353229
2015-11-09,451.100006,451.100006,440.899994,444.0,444.0,1172922
2015-11-10,448.899994,449.0,434.675995,440.100006,440.100006,1896480
2015-11-11,443.399994,462.899994,441.200012,457.600006,457.600006,2209861
2015-11-12,454.399994,454.437012,427.600006,433.299988,433.299988,5398183
2015-11-13,431.899994,440.440002,419.700012,426.600006,426.600006,4398305
2015-11-16,424.299988,428.799988,417.5,424.600006,424.600006,2182060
2015-11-17,427.100006,431.799988,415.5,422.600006,422.600006,4134275
2015-11-18,421.899994,422.5,412.299988,414.0,414.0,5733213
2015-11-19,412.600006,432.0,412.100006,425.0,425.0,3262459
2015-11-20,426.200012,428.597992,419.0,421.0,421.0,1493974
2015-11-23,418.299988,427.899994,418.100006,425.399994,425.399994,2023199
2015-11-24,426.299988,429.5,413.899994,414.0,414.0,1246740
2015-11-25,419.0,425.600006,411.799988,424.600006,424.600006,1049380
2015-11-26,423.200012,426.299988,420.600006,425.700012,425.700012,585034
2015-11-27,423.799988,432.899994,420.899994,431.899994,431.899994,993015
2015-11-30,433.600006,444.200012,430.799988,440.600006,440.600006,2221617
2015-12-01,444.5,451.399994,414.977997,446.299988,446.299988,1581572
2015-12-02,449.600006,455.299988,445.700012,449.799988,449.799988,939204
2015-12-03,451.899994,464.600006,445.5,456.200012,456.200012,2524733
2015-12-04,456.899994,464.799988,453.700012,463.600006,463.600006,1328471
2015-12-07,467.0,468.0,461.0,461.700012,461.700012,1206678
2015-12-08,462.700012,462.700012,453.0,453.0,453.0,2872520
2015-12-09,455.399994,458.899994,446.899994,448.600006,448.600006,1749307
2015-12-10,449.299988,455.399994,440.0,451.0,451.0,1138847
2015-12-11,450.0,451.5,445.299988,447.899994,447.899994,834816
2015-12-14,450.5,451.799988,445.399994,446.700012,446.700012,1503103
2015-12-15,447.899994,458.299988,445.799988,453.100006,453.100006,1549741
2015-12-16,452.899994,465.5,451.799988,463.899994,463.899994,1504370
2015-12-17,471.0,474.799988,466.700012,468.299988,468.299988,1432654
2015-12-18,467.5,478.899994,461.700012,468.5,468.5,1540092
